[warn] --hard_sparse_forward enables sparse-z-as-x mode. This is NOT pure ELSA and is known to be worse at 80%+ sparsity. Consider dropping the flag.
====================================================================================================
Windowed ELSA / ELSA-L ADMM Sparsification
====================================================================================================
Model id             : mistralai/Mistral-7B-Instruct-v0.3
Device               : cuda
Model dtype          : torch.float16
Active state dtype   : torch.float16
ADMM z/u format      : fp16
Persistent x format  : disabled
Adam/Fisher format   : fp16
Projection device    : cpu
Target sparsity      : 80.00%
Pattern              : unstructured
CUDA memory          : alloc=0.00GB reserved=0.00GB max=0.00GB

Loading tokenizer and model...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|                                                                                                                                | 0/291 [00:00<?, ?it/s]Loading weights:   5%|█████▋                                                                                                                | 14/291 [00:00<00:01, 138.82it/s]Loading weights:  11%|████████████▌                                                                                                         | 31/291 [00:00<00:01, 156.27it/s]Loading weights:  16%|███████████████████                                                                                                   | 47/291 [00:00<00:01, 156.33it/s]Loading weights:  22%|█████████████████████████▌                                                                                            | 63/291 [00:00<00:01, 118.59it/s]Loading weights:  26%|██████████████████████████████▊                                                                                       | 76/291 [00:00<00:01, 121.16it/s]Loading weights:  31%|████████████████████████████████████▉                                                                                 | 91/291 [00:00<00:01, 128.75it/s]Loading weights:  36%|██████████████████████████████████████████▏                                                                          | 105/291 [00:00<00:01, 131.53it/s]Loading weights:  42%|████████████████████████████████████████████████▋                                                                    | 121/291 [00:00<00:01, 139.32it/s]Loading weights:  47%|██████████████████████████████████████████████████████▋                                                              | 136/291 [00:00<00:01, 141.18it/s]Loading weights:  53%|██████████████████████████████████████████████████████████████▎                                                      | 155/291 [00:01<00:00, 153.24it/s]Loading weights:  59%|████████████████████████████████████████████████████████████████████▊                                                | 171/291 [00:01<00:00, 153.81it/s]Loading weights:  64%|███████████████████████████████████████████████████████████████████████████▏                                         | 187/291 [00:01<00:00, 123.25it/s]Loading weights:  70%|██████████████████████████████████████████████████████████████████████████████████                                   | 204/291 [00:01<00:00, 134.67it/s]Loading weights:  76%|████████████████████████████████████████████████████████████████████████████████████████▍                            | 220/291 [00:01<00:00, 140.12it/s]Loading weights:  81%|██████████████████████████████████████████████████████████████████████████████████████████████▍                      | 235/291 [00:01<00:00, 142.56it/s]Loading weights:  86%|████████████████████████████████████████████████████████████████████████████████████████████████████▌                | 250/291 [00:01<00:00, 142.11it/s]Loading weights:  91%|██████████████████████████████████████████████████████████████████████████████████████████████████████████▌          | 265/291 [00:01<00:00, 117.13it/s]Loading weights:  96%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████▌    | 280/291 [00:02<00:00, 124.67it/s]Loading weights: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 291/291 [00:02<00:00, 138.32it/s]
Enabling gradient checkpointing...
Model loaded. CUDA memory: alloc=13.50GB reserved=13.52GB max=13.50GB

Loading calibration tokens...
Loaded calibration tokens: (8192, 2048)

Freeing sparse-target model temporarily to load dense teacher for KD cache build...

Building KD teacher top-K cache at data/kd_cache_mistral_v03_wt103_8192x2048_top128_temp1
  rows=8192 T=2048 K=128 dtype=fp16 device=cuda
  loading dense teacher...
Loading weights:   0%|                                                                                                                                | 0/291 [00:00<?, ?it/s]Loading weights:   5%|█████▋                                                                                                                | 14/291 [00:00<00:02, 104.32it/s]Loading weights:  11%|████████████▌                                                                                                         | 31/291 [00:00<00:01, 136.76it/s]Loading weights:  16%|██████████████████▋                                                                                                   | 46/291 [00:00<00:01, 140.64it/s]Loading weights:  21%|████████████████████████▋                                                                                             | 61/291 [00:00<00:01, 141.89it/s]Loading weights:  26%|██████████████████████████████▊                                                                                       | 76/291 [00:00<00:01, 142.17it/s]Loading weights:  32%|██████████████████████████████████████                                                                                | 94/291 [00:00<00:01, 119.24it/s]Loading weights:  38%|█████████████████████████████████████████████                                                                        | 112/291 [00:00<00:01, 133.09it/s]Loading weights:  44%|███████████████████████████████████████████████████                                                                  | 127/291 [00:00<00:01, 137.17it/s]Loading weights:  49%|█████████████████████████████████████████████████████████                                                            | 142/291 [00:01<00:01, 138.77it/s]Loading weights:  54%|███████████████████████████████████████████████████████████████                                                      | 157/291 [00:01<00:01, 114.57it/s]Loading weights:  59%|█████████████████████████████████████████████████████████████████████▌                                               | 173/291 [00:01<00:00, 124.40it/s]Loading weights:  64%|███████████████████████████████████████████████████████████████████████████▏                                         | 187/291 [00:01<00:00, 128.09it/s]Loading weights:  69%|█████████████████████████████████████████████████████████████████████████████████▏                                   | 202/291 [00:01<00:00, 131.36it/s]Loading weights:  76%|████████████████████████████████████████████████████████████████████████████████████████▍                            | 220/291 [00:01<00:00, 117.31it/s]Loading weights:  80%|█████████████████████████████████████████████████████████████████████████████████████████████▋                       | 233/291 [00:01<00:00, 119.97it/s]Loading weights:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████▉                  | 246/291 [00:01<00:00, 122.29it/s]Loading weights:  89%|████████████████████████████████████████████████████████████████████████████████████████████████████████▏            | 259/291 [00:02<00:00, 124.15it/s]Loading weights:  94%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████▏      | 274/291 [00:02<00:00, 129.67it/s]Loading weights: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 291/291 [00:02<00:00, 129.99it/s]
  teacher loaded. vocab=32768  cuda=alloc=13.50GB reserved=13.52GB max=13.50GB
    cached rows 0-0/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 16-16/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 32-32/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 48-48/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 64-64/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 80-80/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 96-96/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 112-112/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 128-128/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 144-144/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 160-160/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 176-176/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 192-192/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 208-208/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 224-224/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 240-240/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 256-256/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 272-272/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 288-288/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 304-304/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 320-320/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 336-336/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 352-352/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 368-368/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 384-384/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 400-400/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 416-416/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 432-432/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 448-448/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 464-464/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 480-480/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 496-496/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 512-512/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 528-528/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 544-544/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 560-560/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 576-576/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 592-592/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 608-608/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 624-624/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 640-640/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 656-656/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 672-672/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 688-688/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 704-704/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 720-720/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 736-736/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 752-752/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 768-768/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 784-784/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 800-800/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 816-816/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 832-832/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 848-848/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 864-864/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 880-880/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 896-896/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 912-912/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 928-928/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 944-944/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 960-960/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 976-976/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 992-992/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1008-1008/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1024-1024/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1040-1040/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1056-1056/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1072-1072/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1088-1088/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1104-1104/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1120-1120/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1136-1136/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1152-1152/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1168-1168/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1184-1184/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1200-1200/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1216-1216/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1232-1232/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1248-1248/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
